humid,marked by a relatively high level of water vapor in the atmosphere
contract,a written or spoken agreement that is intended to be enforceable by law.
redundancy,the state of being not or no longer needed or useful.
redundant,not or no longer needed or useful; superfluous.
overcoat,a long warm coat worn over other clothing.
temporary,lasting for only a limited period of time; not permanent.
diligent,having or showing care and conscientiousness in one's work or duties.
dynamic,positive in attitude and full of energy and new ideas.
faithful,remaining loyal and steadfast.
fawning,displaying exaggerated flattery or affection; obsequious.
blossom,produce flowers or masses of flowers.
squash,"crush or squeeze (something) with force so that it becomes flat, soft, or out of shape."
radish,"a swollen pungent-tasting edible root, especially a variety which is small, spherical, and red, and eaten raw with salad."
marrow,"a soft fatty substance in the cavities of bones, in which blood cells are produced"
industrial waste,rubbish of economic activities
oil spill,"allow oil to flow over the edge of its container, especially unintentionally."
ozone layer,a layer in the earth's stratosphere containing a high concentration of ozone
sewage,waste water and excrement conveyed in sewers.
lamb,a young sheep.
herd of cow,a large group of cow
flock of sheep,a large group of sheep
piglet,a young pig.
archaeology,the study of human history and prehistory through the excavation of sites and the analysis of artifacts and other physical remains.
astronomy,"the branch of science which deals with celestial objects, space, and the physical universe as a whole."
linguistics,the scientific study of language and its structure
